  x + h      approximation    f(x + h)     error
------------------------------------------------
 -0.250              1.725       1.725     0.000
 -0.249              1.719       1.719    -0.000
 -0.248              1.714       1.714    -0.000
 -0.247              1.708       1.708    -0.000
 -0.246              1.702       1.702    -0.000
 -0.245              1.697       1.697    -0.000
 -0.244              1.691       1.691    -0.000
 -0.243              1.685       1.685    -0.000
 -0.242              1.680       1.680    -0.000
 -0.241              1.674       1.674    -0.000
 -0.240              1.669       1.668    -0.000
 -0.239              1.663       1.663    -0.000
 -0.238              1.658       1.657    -0.000
 -0.237              1.652       1.651    -0.001
 -0.236              1.646       1.646    -0.001
 -0.235              1.641       1.640    -0.001
 -0.234              1.635       1.635    -0.001
 -0.233              1.630       1.629    -0.001
 -0.232              1.624       1.623    -0.001
 -0.231              1.619       1.618    -0.001
 -0.230              1.614       1.612    -0.001
 -0.229              1.608       1.607    -0.001
 -0.228              1.603       1.601    -0.002
 -0.227              1.597       1.596    -0.002
 -0.226              1.592       1.590    -0.002
 -0.225              1.586       1.584    -0.002
 -0.224              1.581       1.579    -0.002
 -0.223              1.576       1.573    -0.002
 -0.222              1.570       1.568    -0.003
 -0.221              1.565       1.562    -0.003
 -0.220              1.560       1.557    -0.003
 -0.219              1.554       1.551    -0.003
 -0.218              1.549       1.546    -0.003
 -0.217              1.544       1.540    -0.003
 -0.216              1.539       1.535    -0.004
 -0.215              1.533       1.529    -0.004
 -0.214              1.528       1.524    -0.004
 -0.213              1.523       1.518    -0.004
 -0.212              1.518       1.513    -0.005
 -0.211              1.512       1.508    -0.005
 -0.210              1.507       1.502    -0.005
 -0.209              1.502       1.497    -0.005
 -0.208              1.497       1.491    -0.006
 -0.207              1.492       1.486    -0.006
 -0.206              1.487       1.480    -0.006
 -0.205              1.481       1.475    -0.006
 -0.204              1.476       1.470    -0.007
 -0.203              1.471       1.464    -0.007
 -0.202              1.466       1.459    -0.007
 -0.201              1.461       1.453    -0.008
 -0.200              1.456       1.448    -0.008
 -0.199              1.451       1.443    -0.008
 -0.198              1.446       1.437    -0.009
 -0.197              1.441       1.432    -0.009
 -0.196              1.436       1.427    -0.009
 -0.195              1.431       1.421    -0.010
 -0.194              1.426       1.416    -0.010
 -0.193              1.421       1.410    -0.010
 -0.192              1.416       1.405    -0.011
 -0.191              1.411       1.400    -0.011
 -0.190              1.406       1.395    -0.012
 -0.189              1.401       1.389    -0.012
 -0.188              1.396       1.384    -0.012
 -0.187              1.391       1.379    -0.013
 -0.186              1.386       1.373    -0.013
 -0.185              1.382       1.368    -0.014
 -0.184              1.377       1.363    -0.014
 -0.183              1.372       1.357    -0.014
 -0.182              1.367       1.352    -0.015
 -0.181              1.362       1.347    -0.015
 -0.180              1.357       1.342    -0.016
 -0.179              1.353       1.336    -0.016
 -0.178              1.348       1.331    -0.017
 -0.177              1.343       1.326    -0.017
 -0.176              1.338       1.321    -0.018
